Data,q1,q2,q3,q4,q5,q6,q7,q8,q9
mpl_train,20.92979401072278,78.05309032083764,373.3537340294139,508.633947199487,778.4402932578334,824.3514201131849,758.0374754982063,373.48023079754245,163.4644260464789
mpl_val,20.675099707149602,77.65826534528892,371.4715509523964,505.7313958445188,772.2780109723352,815.5244500458288,749.2662670196337,366.9791288575568,160.49446550129156
